epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,11307.7,0.26418,0.25429,0.94299,0.98052,0.97048,0.98093,0.98092,0.10553,0.19543,0.45289,0.00214046,0.00214046,0.00214046
72,11466.5,0.26352,0.2524,0.94255,0.98061,0.97051,0.9809,0.9809,0.10494,0.19475,0.45227,0.00201611,0.00201611,0.00201611
73,11625.1,0.25711,0.24729,0.93924,0.98066,0.97045,0.98096,0.98095,0.10445,0.19413,0.45175,0.00189475,0.00189475,0.00189475
74,11783.8,0.25447,0.24602,0.93918,0.98089,0.97067,0.98096,0.98095,0.10411,0.19399,0.45125,0.00177651,0.00177651,0.00177651
75,11942.4,0.25265,0.24421,0.93832,0.98079,0.97051,0.98093,0.98092,0.10351,0.19462,0.45048,0.00166149,0.00166149,0.00166149
76,12101.1,0.24885,0.23655,0.93668,0.98089,0.97053,0.98093,0.98092,0.10296,0.19425,0.44954,0.00154982,0.00154982,0.00154982
77,12259.8,0.24583,0.2378,0.93673,0.98089,0.97051,0.98097,0.98096,0.10236,0.19385,0.44872,0.00144161,0.00144161,0.00144161
78,12418.5,0.24405,0.23364,0.93367,0.98081,0.97051,0.98097,0.98096,0.10155,0.19337,0.44794,0.00133695,0.00133695,0.00133695
79,12577,0.24003,0.22828,0.93262,0.98069,0.97031,0.98099,0.98098,0.10091,0.19303,0.44724,0.00123596,0.00123596,0.00123596
80,12735.6,0.23785,0.22827,0.93205,0.98075,0.97036,0.98095,0.98094,0.10045,0.19274,0.4466,0.00113873,0.00113873,0.00113873
81,12894.5,0.23348,0.22448,0.92871,0.98081,0.97049,0.98104,0.98104,0.09993,0.19241,0.4459,0.00104537,0.00104537,0.00104537
82,13053,0.23292,0.22433,0.92977,0.98069,0.97037,0.98106,0.98105,0.09957,0.19155,0.44532,0.000955951,0.000955951,0.000955951
83,13211.8,0.22863,0.21911,0.92867,0.98096,0.97059,0.98104,0.98103,0.09908,0.19187,0.44471,0.000870577,0.000870577,0.000870577
84,13371.8,0.22741,0.21845,0.92695,0.98081,0.97042,0.98107,0.98106,0.09868,0.19128,0.4441,0.000789327,0.000789327,0.000789327
85,13533.3,0.22436,0.21718,0.92608,0.98082,0.97038,0.98111,0.98111,0.0981,0.19078,0.44329,0.000712282,0.000712282,0.000712282
86,13694.2,0.22238,0.21705,0.92548,0.98112,0.97059,0.98117,0.98116,0.09751,0.18995,0.44252,0.000639518,0.000639518,0.000639518
87,13852.7,0.22068,0.21231,0.92404,0.98083,0.97043,0.9811,0.98109,0.09679,0.18947,0.44153,0.000571106,0.000571106,0.000571106
88,14011.3,0.21893,0.21132,0.92414,0.98093,0.97053,0.98114,0.98113,0.09633,0.18991,0.44089,0.000507115,0.000507115,0.000507115
89,14169.7,0.21889,0.21009,0.92329,0.98114,0.97065,0.9812,0.98119,0.09588,0.18997,0.44029,0.000447606,0.000447606,0.000447606
90,14328.3,0.2171,0.20963,0.92308,0.98079,0.97044,0.98117,0.98116,0.09543,0.18983,0.43949,0.00039264,0.00039264,0.00039264
91,14494.6,0.21058,0.16959,0.98008,0.98079,0.9705,0.98121,0.9812,0.09476,0.18953,0.43884,0.00034227,0.00034227,0.00034227
92,14652.9,0.19279,0.15062,0.96209,0.98077,0.97051,0.98126,0.98126,0.09422,0.18933,0.43812,0.000296546,0.000296546,0.000296546
93,14811.1,0.19155,0.14777,0.96323,0.9809,0.97064,0.98132,0.98131,0.09367,0.18897,0.43735,0.000255513,0.000255513,0.000255513
94,14969.4,0.18451,0.14429,0.95444,0.98086,0.97066,0.98128,0.98127,0.09313,0.18849,0.43656,0.000219212,0.000219212,0.000219212
95,15127.6,0.18127,0.14245,0.95127,0.98062,0.97046,0.98131,0.9813,0.09265,0.18823,0.43579,0.000187678,0.000187678,0.000187678
96,15286,0.17834,0.14077,0.94719,0.98056,0.97057,0.98137,0.98136,0.09207,0.18774,0.43494,0.000160943,0.000160943,0.000160943
97,15443.9,0.17526,0.13896,0.94527,0.98086,0.97074,0.98137,0.98136,0.09142,0.1872,0.43405,0.000139032,0.000139032,0.000139032
98,15601.9,0.17421,0.13905,0.94238,0.98054,0.9705,0.98148,0.98148,0.09067,0.18636,0.43315,0.000121968,0.000121968,0.000121968
99,15760.1,0.17685,0.14021,0.94652,0.98075,0.97074,0.9815,0.9815,0.0901,0.18587,0.43229,0.000109768,0.000109768,0.000109768
100,15918.3,0.17193,0.138,0.9418,0.9809,0.97079,0.98159,0.98159,0.0895,0.18574,0.43143,0.000102443,0.000102443,0.000102443
